area,ID,numid,wdepth,bpi,rie,new_cmecs,dshore,shore_code
2,G532,"532",-107.840054012736,-6.56596507340988,6.68080475341966,Gravel,2207.59760445137,OCN
2,G533,"533",-111.121090727592,0.420188396578984,6.74569879259936,Cobble,2717.77242256262,OCN
2,G534,"534",-144.016300716554,-8.61883816501364,9.16979805777763,Cobble,1638.7430247706,OCN
2,G535,"535",-132.626156993652,-8.90836266000464,9.40054815173111,Cobble,2307.25488335718,OCN
2,G536,"536",-55.6561784611333,5.81079003378406,4.18014090621814,Sand,2600.99649826894,OCN
2,G537,"537",-41.0656907437882,-2.44113015341125,2.32179729310892,Sand,2022.85916019061,OCN
2,G538,"538",-26.0441379981872,-0.211506565697936,0.792384832144731,Fine Unconsolidated Substrate,1738.53872486946,OCN
2,G539,"539",-5.73652588461998,1.34233651046326,2.56718670311631,Unconsolidated Mineral Substrate,517.505702471625,EI-Mix_Coarse
2.09,G540,"540",-10.0441042466107,-0.657982222217965,0,Gravel,137.891457220569,EI-Boulder
2.11,G541,"541",-14.1774621069761,-0.552063219479235,0.642410879169644,Gravel,435.360723411183,EI-Mix_Coarse
0.96,G542,"542",-10.2061546210362,19.835603539237,4.30114200272932,Sand,351.723403376853,EI-Sand
1.47,G543,"543",-53.2435800277383,13.9378259433141,11.0117155715514,Gravel,112.434256259433,EI-Mix_Fine
2,G544,"544",-162.195693654051,-6.41302178051123,6.83857033407923,Muddy Sand,1762.92843231827,OCN
2,G545,"545",-151.029877379772,-14.4280392064428,8.67571522897857,Muddy Sand,900.527574856315,EI-Sand
1.82,G546,"546",-86.383511713311,11.2386159867565,4.77041621931324,Unconsolidated Mineral Substrate,530.710042209684,EI-Sand
0.56,G547,"547",-1.2967303886561,1.85343001174087,0,Unconsolidated Mineral Substrate,119.463657583192,EI-Sand
1.47,G548,"548",-0.611929225693884,1.53354095083538,0.637237843911637,Fine Unconsolidated Substrate,617.022352991278,EI-Mix_Fine
1.26,G549,"549",0,-0.357118443825629,0,Fine Unconsolidated Substrate,75.9578103762003,EI-Mix_Fine
0.72,G550,"550",-2.90598319303834,6.90425509118999,0.31721824501104,Unconsolidated Mineral Substrate,157.336020890146,EI-Mix_Fine
0.92,G551,"551",-1.12402451174597,9.44789532832725,0.598187173120942,Mud,71.6267310786393,EI-Artificial
2.08,G552,"552",0,0.326974234997363,0,Unconsolidated Mineral Substrate,116.481834955894,EI-Mix_Fine
2.73,G553,"553",-42.9530673556542,7.06995737947547,5.86928625500624,Muddy Sand,662.479371657252,EI-Mix_Fine
1.84,G554,"554",-19.6719303824108,16.5048407615466,15.708706174947,Gravel,500.967842530448,EI-Mix_Coarse
2,G555,"555",-33.3530502754438,6.83217034986716,13.7925498969265,Muddy Sand,764.354332222818,EI-Sand
2,G556,"556",-87.1050885155715,-9.73304233949609,5.67445392499395,Muddy Sand,929.353564510101,EI-Mix_Fine
2,G557,"557",-53.2908167386342,3.09283834272188,16.1036185823313,Sand,878.876422225677,EI-Mix_Coarse
2,G558,"558",-65.9561460517579,0.483398897007961,0.993033353466715,Sand,3143.20676366379,OCN
2,G559,"559",-92.7360905003363,-3.2173922719411,4.56780040541008,Gravel,3951.3117159052,OCN
2,G560,"560",-108.746080556953,0.307653751156657,4.18285917701534,Sand,2263.52004913573,OCN
2,G561,"561",-115.656159513651,-3.34091446809553,4.06453027460287,Gravel,1606.90326664448,OCN
2,G562,"562",-132.102496965368,-14.0518559891023,8.17854891811364,Cobble,1399.41987514164,OCN
2,G563,"563",-119.302542372446,-9.5896011802317,11.385054993306,Cobble,1142.77036410481,EI-Mix_Coarse
2,G564,"564",-62.9061320915596,4.90776879028939,7.19500520438414,Sand,1951.91739741438,OCN
2,G565,"565",-57.1708344421874,-6.24103721642401,5.57956965546288,Sand,1735.75177597212,OCN
1.76,G566,"566",-20.4934194209086,2.51642650878164,0.725638674597151,Sand,592.042674814811,EI-Mix_Coarse
2.4,G567,"567",-19.8724472810711,2.22300230547792,3.65303213335011,Fine Unconsolidated Substrate,540.05324611463,EI-Mix_Coarse
2,G568,"568",-24.0349940837866,-1.9103464618796,1.8106790112808,Fine Unconsolidated Substrate,1846.96194889869,OCN
0.7,G569,"569",-10.8082102687391,5.47454739770362,0,Coarse Unconsolidated Substrate,27.2341746563384,EI-Mix_Coarse
1.16,G570,"570",-6.77562178697053,4.52192573814533,0,Sand,446.849548874564,EI-Sand
2,G571,"571",-84.4058773188752,5.62849497823695,20.0847477051302,Sand,907.312753563243,EI-Sand
2,G572,"572",-157.764074765588,-9.06116588740352,9.91091303346829,Muddy Sand,1640.04788175045,OCN
1.93,G573,"573",-91.3564838863125,8.44885174803335,11.5987273887809,Unconsolidated Mineral Substrate,499.6001030399,EI-Sand
2.14,G574,"574",-6.09082406095424,2.65581751883323,2.24933774308214,Unconsolidated Mineral Substrate,428.566159784442,EI-Sand
2.06,G575,"575",-12.1919748064733,-0.805026854780441,1.11468744734752,Mud,539.917628667596,EI-Mix_Fine
0.89,G576,"576",0,0.358045618098376,0,Coarse Unconsolidated Substrate,73.2417668206057,EI-Mix_Coarse
0.85,G577,"577",0,12.4715816486092,0.793159369266647,Fine Unconsolidated Substrate,50.4643998865384,EI-Mix_Fine
0.74,G578,"578",0,10.8992415852094,0.849202060460288,Sandy Mud,176.194433496601,EI-Mix_Fine
2,G579,"579",-80.8006616380205,-11.5411669847801,5.82818997375268,Muddy Sand,805.366860449725,EI-Mix_Fine
2,G580,"580",-88.5769917745088,-10.8950040799453,8.89371995447234,Muddy Sand,1762.87661773084,OCN
1.33,G581,"581",-14.8835523568228,34.7879877008477,12.376925090085,Sand,12.1565147244536,EI-Mix_Fine
2,G582,"582",-53.732555616082,-1.88685465851119,6.30195208640449,Sand,1678.70570307711,OCN
2,G583,"583",-80.3562824858857,0.159927222970865,3.35986653259015,Gravel,4295.15440180645,OCN
2,G584,"584",-96.7439580333038,0.968525855706688,2.42311493934411,Gravel,2529.04532718002,OCN
2,G585,"585",-106.312430763691,-10.4967513302436,9.71604584314757,Gravel,791.062535367495,EI-Mix_Coarse
2,G586,"586",-109.924887198967,-11.8111731651037,8.0203338247613,Cobble,1611.63411306691,OCN
1.7,G587,"587",-75.1061262271566,21.416481301165,6.57430157543267,Cobble,227.223102026913,EI-Mix_Coarse
2.28,G588,"588",-35.3425719346588,10.1067876395853,7.7730399117132,Sand,698.449850825856,EI-Mix_Coarse
2,G589,"589",-56.6689674347969,-7.56555584239236,7.82376205195014,Sand,1089.76294688546,EI-Mix_Coarse
2.17,G590,"590",-23.4729210966931,5.01044679306522,2.45141767153998,Sand,598.564522143407,EI-Mix_Coarse
1.76,G591,"591",-20.985829045262,3.30420156931389,1.47056606562883,Fine Unconsolidated Substrate,517.845370395652,EI-Mix_Coarse
2,G592,"592",-32.8691982569171,-0.852560020267651,2.46416682252703,Fine Unconsolidated Substrate,2221.96169930945,OCN
2,G593,"593",-8.78465643824713,3.48405809831379,2.14991541815413,Unconsolidated Mineral Substrate,1008.73193058473,EI-Mix_Coarse
2.19,G594,"594",-7.71082618575538,0.916834558785156,0.425843179151379,Fine Unconsolidated Substrate,539.193705427302,EI-Artificial
0.94,G595,"595",-11.9357974168106,0.813177173798873,0.884230857552108,Gravel,10.6280764796349,EI-Mix_Coarse
2.21,G596,"596",-15.1626830213037,-0.256099744606227,2.14202139352091,Gravel,452.174809981628,EI-Artificial
0.86,G597,"597",-15.817217823623,16.8808357765556,4.52311890217703,Sand,125.117037479137,EI-Sand
2,G598,"598",-138.381801823165,-18.3922051534719,13.2467343330628,Muddy Sand,1571.69545596852,OCN
2,G599,"599",-66.7172108045027,15.1415424857042,26.8741467956283,Gravel,1033.46334933675,EI-Sand
1.85,G600,"600",-26.1183754140353,-0.836997298877928,3.16870644979922,Unconsolidated Mineral Substrate,468.85676945796,EI-Sand
2,G601,"601",-16.5120642503538,-2.71837742963059,0.653048876617504,Mud,347.435076206786,EI-Mix_Coarse
1.88,G602,"602",-14.2814570544037,0.145391946967083,1.04369306436693,Sandy Mud,419.326472596923,EI-Mix_Fine
1.93,G603,"603",-8.5815515331364,0.060529618724839,0.899469496562566,Sandy Mud,600.794755433676,EI-Mix_Fine
1.13,G604,"604",-0.103147812545319,0.0828949920294117,0,Unconsolidated Mineral Substrate,326.032601584785,EI-Mix_Fine
2,G605,"605",-91.1787826911849,-15.2146740140494,7.64583280364983,Muddy Sand,1217.14595506095,EI-Mix_Coarse
2,G606,"606",-96.8825012988412,-21.3853624570929,12.7164305252011,Muddy Sand,1057.99372799232,EI-Gravel
1.6,G607,"607",-13.6968360004968,19.1488484811405,14.0533801347896,Sand,383.996893648498,EI-Mix_Fine
1.91,G608,"608",-11.7614309054901,8.55003268580971,6.55968693331021,Sand,364.265949738948,EI-Mix_Coarse
2,G609,"609",-80.1020423499645,0.733788579866534,9.18717646930578,Sand,2957.09361197616,OCN
2,G610,"610",-91.5411849872568,-0.726012417892598,2.0921573944799,Gravel,2812.02205566821,OCN
2,G611,"611",-79.6243923401065,-4.91967096751483,12.2791007904291,Gravel,1076.95841438191,EI-Mix_Coarse
1.85,G612,"612",-48.9827240365724,15.3174162518167,8.52185287071785,Gravel,583.473365762701,EI-Mix_Coarse
1.54,G613,"613",-39.2126037395256,28.6351685890741,5.80303209538602,Sand,311.660255506466,EI-Mix_Coarse
0.72,G614,"614",-6.77055180278745,33.9811321326092,3.08361783769974,Sand,193.011356952422,EI-Mix_Coarse
1.88,G615,"615",-26.328052559778,7.12636658012321,6.33794961847092,Sand,532.864715162495,EI-Mix_Coarse
1.48,G616,"616",-18.378291481723,14.2101981056491,4.97349299683297,Sand,425.400241844766,EI-Mix_Coarse
1.35,G617,"617",-19.5305441387805,10.9152062562042,2.14440274914183,Unconsolidated Mineral Substrate,299.247984356437,EI-Mix_Coarse
2,G618,"618",-36.1568773660721,0.172189333830537,2.8062072796385,Fine Unconsolidated Substrate,1817.67255777654,OCN
2,G619,"619",-28.7411022765824,-0.428356536631327,0.627695183024567,Fine Unconsolidated Substrate,2496.15188624274,OCN
2,G620,"620",-18.3350790702455,-1.31064020037798,1.97574792951906,Fine Unconsolidated Substrate,1490.4452379132,OCN
0.77,G621,"621",-5.83276481343949,4.15921169521258,0.408696048887341,Fine Unconsolidated Substrate,318.482637731157,EI-Mix_Coarse
2.01,G622,"622",-17.7991406886335,-0.958844394576394,2.54616178219984,Gravel,614.749467168046,EI-Mix_Coarse
0.67,G623,"623",0,1.96365225350959,0.0968085450422188,Sand,197.274473215938,EI-Artificial
1.64,G624,"624",-3.52211260086913,2.17381603133903,1.51944167365758,Mud,131.067141114968,EI-Artificial
1.2,G625,"625",-8.79500492250006,6.60022585483008,2.01916022975241,Gravel,376.798727714153,EI-Mix_Coarse
1.4,G626,"626",-18.2409479607605,28.3346187552396,17.9050799667998,Sand,300.671686532844,EI-Mix_Coarse
2,G627,"627",-104.808930321008,-12.6506172728461,20.046714833867,Unconsolidated Mineral Substrate,1422.64936897544,OCN
1.18,G628,"628",-28.1739586141937,19.6844545470727,6.45474397205891,Gravel,119.752364463542,EI-Sand
1.53,G629,"629",-22.88142635855,9.38755073613249,1.80116841214922,Sand,337.766395987911,EI-Sand
1.79,G630,"630",-10.7414565167821,4.12594235918169,2.94689364844006,Unconsolidated Mineral Substrate,356.483058868328,EI-Sand
0.86,G631,"631",0,0.257404629694275,0,Unconsolidated Mineral Substrate,15.8506510143417,EI-Sand
0.89,G632,"632",-6.404290094436,8.00432952261255,0.654984190931018,Mud,168.249756036558,EI-Mix_Fine
1.71,G633,"633",-21.218055062329,1.99153878959607,1.53494247498064,Muddy Sand,319.753012652679,EI-Mix_Fine
0.85,G634,"634",-4.55080665371962,15.7353439517776,0.704139642704308,Unconsolidated Mineral Substrate,225.937664275367,EI-Mix_Fine
0.68,G635,"635",-8.68276591151542,10.7249244981774,0.116160487006572,Unconsolidated Mineral Substrate,93.6805158871806,EI-Mix_Coarse
2.09,G636,"636",-16.6702504930073,-1.257122638202,2.08133971930392,Sandy Mud,521.338372654499,EI-Mix_Fine
2,G637,"637",-16.5430818148936,-2.38570380848319,0.883370072095948,Sandy Mud,988.852308634123,EI-Mix_Fine
1.34,G638,"638",-4.73273949624238,1.97338082224647,0.815618040026774,Fine Unconsolidated Substrate,204.282281817889,EI-Mix_Coarse
1.62,G639,"639",-28.5123015856955,10.9661361012537,11.5280343554144,Muddy Sand,587.12513675349,EI-Mix_Fine
2,G640,"640",-89.5627288981919,-18.4212425257254,12.8009848071514,Muddy Sand,1174.47887425032,EI-Mix_Fine
2.39,G641,"641",-16.6941622387324,10.3969974445238,13.4614637559141,Sand,300.605863566478,EI-Mix_Fine
1.64,G642,"642",-11.4916766017706,8.64204924274624,9.00147894238674,Sand,517.980998279464,EI-Mix_Coarse
2,G643,"643",-69.6822618044814,2.39243039000146,15.8575056114748,Sand,1791.08213451271,OCN
