ID,numid,weighted_current
G1272,"1272",0.344029158081324
G1273,"1273",0.351934775688856
G1274,"1274",0.354075252068575
G1275,"1275",0.357030098984216
G1276,"1276",0.361767999568552
G1277,"1277",0.367214949408358
G1278,"1278",0.381453147957758
G1279,"1279",0.38973398665494
G128,"128",0.379547353638515
G1280,"1280",0.395237400319112
G1281,"1281",0.511716414202879
G1282,"1282",0.382405922827373
G1283,"1283",0.342660644831148
G1284,"1284",0.32025027433552
G1285,"1285",0.313304733641331
G1286,"1286",0.322057563034953
G1287,"1287",0.332502973780992
G1288,"1288",0.329196019472692
G1289,"1289",0.305496691410267
G129,"129",0.353107516562635
G1290,"1290",0.283160093413996
G1291,"1291",0.261850515099075
G1292,"1292",0.23818789022568
G1293,"1293",0.21027483253012
G1294,"1294",0.203736993677811
G1295,"1295",0.205782128875199
G1296,"1296",0.230635554997684
G1297,"1297",0.266507022174439
G1298,"1298",0.293007186403273
G1299,"1299",0.302812717355828
G13,"13",0.424202719291096
G130,"130",0.368229518651369
G1300,"1300",0.301298311474707
G1301,"1301",0.298593860448339
G1302,"1302",0.29764413981256
G1303,"1303",0.298827366391443
G1304,"1304",0.297329949870668
G1305,"1305",0.293245524494256
G1307,"1307",0.297932583614439
G1308,"1308",0.314704396361753
G1309,"1309",0.335779248100865
G131,"131",0.345313635848699
G1310,"1310",0.352703127198149
G1311,"1311",0.359479199310265
G1312,"1312",0.363878674526375
G1313,"1313",0.368798838919468
G1314,"1314",0.37455324538092
G1315,"1315",0.379577049175154
G1316,"1316",0.386790783272533
G1317,"1317",0.39403619653544
G1318,"1318",0.400127101656164
G1319,"1319",0.400523690583272
G132,"132",0.341563616165026
G1320,"1320",0.360118186049304
G1321,"1321",0.329551497905574
G1322,"1322",0.321169594539983
G1323,"1323",0.335597105969609
G1324,"1324",0.338174211291856
G1325,"1325",0.323548877193854
G1326,"1326",0.296909490389067
G1327,"1327",0.273536237901729
G1328,"1328",0.24941573524173
G1329,"1329",0.202971662100845
G133,"133",0.352089644733069
G1330,"1330",0.203464734817577
G1331,"1331",0.252474498877507
G1332,"1332",0.282767064295728
G1333,"1333",0.302541039139566
G1334,"1334",0.30534710296357
G1335,"1335",0.301525383354108
G1336,"1336",0.30128709653412
G1337,"1337",0.300663897310181
G1338,"1338",0.296604234355606
G1339,"1339",0.288523820342876
G134,"134",0.720417462941858
G1340,"1340",0.283272294828676
G1341,"1341",0.29226071941592
G1342,"1342",0.32108060446838
G1343,"1343",0.349419987422416
G1344,"1344",0.361437601472033
G1345,"1345",0.369753616780219
G1346,"1346",0.37581080337099
G1347,"1347",0.381436546929246
G1348,"1348",0.388355452335155
G1349,"1349",0.395458709083549
G135,"135",0.744832422647806
G1350,"1350",0.404436468644217
G1351,"1351",0.406784040007003
G1352,"1352",0.371475160659394
G1353,"1353",0.343305079445225
G1354,"1354",0.323173592578415
G1355,"1355",0.325825213133408
G1356,"1356",0.33655398808328
G1357,"1357",0.345560613961068
G1358,"1358",0.338796650210348
G1359,"1359",0.315783676682513
G136,"136",0.781947883713234
G1360,"1360",0.204253863125343
G1361,"1361",0.203198197859387
G1362,"1362",0.204839590319651
G1363,"1363",0.272384311683983
G1364,"1364",0.297409872831004
